SubjectID,quality_e1_r,quality_e2_r,quality_e1_c,quality_e2_c,quality_e1_t,quality_e2_t,quality_e3_1,quality_e3_2
CA0,Good,Good,Good,Good,Good,Good,Good,Good
CA1,Good,Good,Good,Good,Good,Good,Good,Good
CA2,Good,Good,Good,Good,Good,Good,Good,Good
CA3,Good,Good,Good,Good,Good,Good,Good,Good
CA4,Good,Good,Good,Good,Good,Good,Good,Good
CA5,Good,Good,Good,Good,Good,Good,Good,Good
CA6,Good,Good,Good,Good,Good,Good,Good,Good
CA7,Good,Good,Good,Good,Good,Good,Good,Good
CA8,Good,Good,Good,Good,Good,Good,Good,Good
CE0,Good,OK,Good,Good,OK,Good,Good,Good
CE1,Good,Good,Good,Good,Good,Good,Good,Good
CE2,Good,Good,Good,Good,Good,Good,Good,Good
CE3,Good,Good,Good,Good,Good,Good,Good,Good
CE4,Good,Good,Good,Good,Good,Good,Good,Good
CE5,Good,Good,Good,Good,Good,Good,Good,Good
CE6,Good,Good,Good,Good,Good,Good,Good,Good
CE7,Good,Good,Good,Good,Good,Good,Good,Good
CE8,Good,Good,Good,Good,Good,Good,Good,Good
CE9,Good,Good,Good,Good,Good,Good,Good,Good
CF0,Good,Good,Good,Good,Good,Good,Good,Good
CF1,Bad,Good,Good,Good,Good,Good,Good,Good
CF2,Good,Good,Good,Good,Good,Good,Good,Good
CF4,Good,Good,OK,Good,Good,Good,Good,Good
CF5,Good,Good,Good,Good,Good,Good,Good,Good
CF7,Good,Good,Good,Good,Good,Good,Good,Good
CI0,Good,OK,OK,OK,Good,OK,OK,OK
CI1,Good,Good,Good,Good,Good,Good,Good,Good
CI2,Good,Good,Good,Good,Good,Good,Good,OK
CI3,Good,Good,Good,Good,Good,Good,Good,Good
CI4,Good,Good,Good,Good,Good,Good,Good,Good
CI5,Good,Good,Good,Good,Good,Good,Good,Good
CI6,Good,Good,Good,Good,Good,Good,Good,Good
CI7,Good,Good,Good,Good,Good,Good,Good,Good
CI8,Good,Good,Good,Good,Good,Good,Good,Good
CI9,Good,Good,Good,Good,Good,Good,Good,Good
CJ0,Good,Good,Good,Good,Good,Good,Good,Good
CJ1,Good,Good,Good,Good,Good,Good,Good,Good
CJ2,Good,Good,Good,Good,Good,Good,Good,Good
CJ3,Good,Good,Good,Good,Good,Good,Good,Good
CJ4,Good,Good,Good,Good,Good,Good,Good,Good
CJ5,Good,Good,Good,Good,Good,Good,Good,Good
CJ6,Good,Good,Good,Good,Good,Good,Good,Good
CJ7,Good,Good,Good,Good,Good,Good,Good,Good
CJ8,Good,Good,Bad,OK,Bad,Good,Good,Good
CJ9,Good,Good,Good,Good,Good,Good,Good,Good
CK1,Good,Good,Good,Good,Good,Good,Good,Good
CK2,Good,Good,Good,Good,Good,Good,Good,Good
CM0,Good,Good,Good,Good,Good,Good,Good,Good
CM1,Good,Good,Good,Good,Good,Good,Good,Good
CM2,Good,Good,Good,Good,Good,Good,Good,Good
CM3,Good,Good,Good,Good,Good,Good,Good,Good
CM4,Good,Good,Good,Good,Good,Good,Good,Good
CM5,Good,Good,Good,Good,Good,Good,Good,Good
CM6,Good,OK,Good,Good,Good,Good,Good,Good
CM7,Good,Good,Good,Good,Good,Good,Good,Good
CM8,Good,Good,OK,Good,OK,Good,Good,Good
CM9,Good,Good,Good,Good,Good,Good,Good,Good
CN0,Good,Good,Good,Good,Good,Good,Good,Good
CN1,Good,Good,Good,Good,Good,Good,Good,Good
CN2,Good,Good,Good,Good,Good,Good,Good,Good
CN3,Good,Good,Good,Good,Good,Good,Good,Good
CN4,Good,Good,Good,Good,Good,Good,Good,Good
CN5,Good,Good,Good,Good,Good,Good,Good,Good
CN6,Good,Good,Good,Good,Good,Good,Good,Good
CQ0,Bad,Good,Good,Good,Good,Good,Good,Good
CU0,Good,Good,Good,Good,Good,Good,Good,Good
CU1,Good,Good,Good,Good,Good,Good,Good,Good
CU2,Good,Good,Good,Good,Good,Bad,Good,Good
CU3,Good,Good,Good,Good,Good,Good,Good,Good
CU4,Good,Good,Good,Good,Good,Good,Good,Good
CU5,Good,Good,Good,Good,Good,Good,Good,Good
